time,jet_lat
1984-01-01,32.5
1984-01-11,31.25
1984-01-21,33.75
1984-01-31,32.5
1984-02-10,37.5
1984-02-20,38.75
1984-03-01,32.5
1984-03-11,35.0
1984-03-21,38.75
1984-03-31,40.0
1984-04-10,38.75
1984-04-20,38.75
1984-04-30,38.75
1984-05-10,37.5
1984-05-20,40.0
1984-05-30,43.75
1984-06-09,45.0
1984-06-19,42.5
1984-06-29,51.25
1984-07-09,46.25
1984-07-19,47.5
1984-07-29,45.0
1984-08-08,65.0
1984-08-18,47.5
1984-08-28,46.25
1984-09-07,45.0
1984-09-17,46.25
1984-09-27,43.75
1984-10-07,47.5
1984-10-17,41.25
1984-10-27,43.75
1984-11-06,41.25
1984-11-16,41.25
1984-11-26,38.75
1984-12-06,48.75
1984-12-16,57.5
1984-12-26,38.75
1985-01-05,32.5
1985-01-15,36.25
1985-01-25,35.0
1985-02-04,32.5
1985-02-14,32.5
1985-02-24,45.0
1985-03-06,46.25
1985-03-16,41.25
1985-03-26,42.5
1985-04-05,43.75
1985-04-15,46.25
1985-04-25,46.25
1985-05-05,45.0
1985-05-15,46.25
1985-05-25,41.25
1985-06-04,36.25
1985-06-14,47.5
1985-06-24,70.0
1985-07-04,43.75
1985-07-14,43.75
1985-07-24,42.5
1985-08-03,46.25
1985-08-13,52.5
1985-08-23,51.25
1985-09-02,46.25
1985-09-12,70.0
1985-09-22,45.0
1985-10-02,46.25
1985-10-12,47.5
1985-10-22,46.25
1985-11-01,47.5
1985-11-11,32.5
1985-11-21,38.75
1985-12-01,37.5
1985-12-11,33.75
1985-12-21,33.75
1985-12-31,38.75
1986-01-10,32.5
1986-01-20,33.75
1986-01-30,33.75
1986-02-09,30.0
1986-02-19,32.5
1986-03-01,32.5
1986-03-11,37.5
1986-03-21,42.5
1986-03-31,42.5
1986-04-10,47.5
1986-04-20,46.25
1986-04-30,42.5
1986-05-10,40.0
1986-05-20,40.0
1986-05-30,43.75
1986-06-09,41.25
1986-06-19,38.75
1986-06-29,40.0
1986-07-09,38.75
1986-07-19,58.75
1986-07-29,46.25
1986-08-08,47.5
1986-08-18,70.0
1986-08-28,47.5
1986-09-07,50.0
1986-09-17,70.0
1986-09-27,50.0
1986-10-07,38.75
1986-10-17,45.0
1986-10-27,43.75
1986-11-06,45.0
1986-11-16,41.25
1986-11-26,43.75
1986-12-06,37.5
1986-12-16,38.75
1986-12-26,37.5
1987-01-05,35.0
1987-01-15,40.0
1987-01-25,37.5
1987-02-04,33.75
1987-02-14,40.0
1987-02-24,31.25
1987-03-06,37.5
1987-03-16,42.5
1987-03-26,41.25
1987-04-05,41.25
1987-04-15,47.5
1987-04-25,43.75
1987-05-05,46.25
1987-05-15,47.5
1987-05-25,42.5
1987-06-04,46.25
1987-06-14,42.5
1987-06-24,41.25
1987-07-04,40.0
1987-07-14,38.75
1987-07-24,40.0
1987-08-03,45.0
1987-08-13,70.0
1987-08-23,70.0
1987-09-02,46.25
1987-09-12,46.25
1987-09-22,48.75
1987-10-02,47.5
1987-10-12,48.75
1987-10-22,43.75
1987-11-01,38.75
1987-11-11,43.75
1987-11-21,41.25
1987-12-01,40.0
1987-12-11,46.25
1987-12-21,42.5
1987-12-31,38.75
1988-01-10,38.75
1988-01-20,37.5
1988-01-30,35.0
1988-02-09,43.75
1988-02-19,32.5
1988-02-29,37.5
1988-03-10,38.75
1988-03-20,40.0
1988-03-30,42.5
1988-04-09,40.0
1988-04-19,40.0
1988-04-29,41.25
1988-05-09,40.0
1988-05-19,42.5
1988-05-29,37.5
1988-06-08,38.75
1988-06-18,40.0
1988-06-28,40.0
1988-07-08,41.25
1988-07-18,41.25
1988-07-28,47.5
1988-08-07,70.0
1988-08-17,47.5
1988-08-27,45.0
1988-09-06,50.0
1988-09-16,47.5
1988-09-26,41.25
1988-10-06,41.25
1988-10-16,45.0
1988-10-26,38.75
1988-11-05,43.75
1988-11-15,42.5
1988-11-25,37.5
1988-12-05,38.75
1988-12-15,38.75
1988-12-25,40.0
1989-01-04,46.25
1989-01-14,43.75
1989-01-24,38.75
1989-02-03,33.75
1989-02-13,38.75
1989-02-23,70.0
1989-03-05,32.5
1989-03-15,31.25
1989-03-25,40.0
1989-04-04,46.25
1989-04-14,43.75
1989-04-24,38.75
1989-05-04,42.5
1989-05-14,46.25
1989-05-24,40.0
1989-06-03,40.0
1989-06-13,38.75
1989-06-23,70.0
1989-07-03,70.0
1989-07-13,45.0
1989-07-23,47.5
1989-08-02,50.0
1989-08-12,43.75
1989-08-22,46.25
1989-09-01,42.5
1989-09-11,46.25
1989-09-21,41.25
1989-10-01,50.0
1989-10-11,50.0
1989-10-21,45.0
1989-10-31,47.5
1989-11-10,52.5
1989-11-20,43.75
1989-11-30,38.75
1989-12-10,33.75
1989-12-20,38.75
1989-12-30,36.25
1990-01-09,41.25
1990-01-19,42.5
1990-01-29,47.5
1990-02-08,46.25
1990-02-18,53.75
1990-02-28,40.0
1990-03-10,37.5
