,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020
ERA-5,38.3666578739119,38.49130044843049,37.560526315789474,39.26257979424954,38.1850446611445,40.91246558290514,,,,,,
JRA-55,38.411569148936174,38.48344827586206,37.37828947368421,39.18425481403324,38.29453159123761,40.868327590848644,,,,,,
MERRA-2,38.40106382978723,38.54568700265252,37.627631578947366,39.34155895542073,38.332955958217255,41.36827405513194,,,,,,
NCEP/DOE II,38.296542553191486,38.35624933687003,37.348684210526315,38.90117910841467,38.20188414850753,40.39815029150673,,,,,,
TaiESM1_r1i1p1f1,38.18588576779026,38.36656791044776,37.263525925925926,39.12132222222222,38.10645817618421,40.930970133638795,38.35289925925926,38.60524222222222,37.80454814814814,39.06308148148148,37.81963065651335,40.51044364642994
CanESM5_r9i1p1f1,38.40165243445693,38.52363134328358,37.73521851851852,39.124885185185185,38.666264615301785,40.912670456503015,40.17950666666667,40.27630814814815,39.874625925925926,40.81937777777778,39.94502595859308,41.985609646856155
NorESM2-LM_r1i1p1f1,38.514973408239705,38.63829701492537,37.9438925925926,39.11812592592592,38.20743675698458,40.79464033257748,41.38949370370371,41.51720074074075,40.54737407407408,42.02693703703704,40.585300703439216,43.11761068027211
HadGEM3-GC31-LL_r5i1p1f3,38.30101260985862,38.60179672630377,37.601851851851855,39.60105024556101,38.48327224547374,40.888211618377845,,,,,,
CESM2_r7i1p1f1,38.35912916510671,38.543476314807904,37.74522222222222,39.239200296186596,38.526703612140814,41.18495048416585,,,,,,
CESM2-WACCM_r2i1p1f1,38.320278921752156,38.50193845580007,37.95458888888889,38.92881895594225,38.25637267556368,40.681332961827806,40.02549148148148,40.171584814814814,39.542811111111114,40.436025925925925,39.45696866287536,41.59700635738832
CanESM5_r4i1p2f1,38.5019479400749,38.660696268656714,37.7042,39.19270370370371,38.70847359431169,40.99762233419466,40.90400814814815,41.03847037037037,40.639433333333336,41.498848148148156,40.41486743868306,42.37224107665805
CNRM-ESM2-1_r4i1p1f2,38.249978707508404,38.34345106066245,37.76914338235294,39.18862947912818,38.604628566082404,40.62634813881223,38.314574067233096,38.43632656076838,37.88526937269373,38.91595493165867,38.37392724502841,40.52967087507334
EC-Earth3_r1i1p1f1,38.084389241688456,38.18515816896167,37.3813455882353,38.94852973771703,38.10457092430982,41.05540585918682,40.08818784530387,40.12518232044199,38.999358024691354,40.749516574585634,39.47768421494132,42.02718042228038
KACE-1-0-G_r1i1p1f1,38.203572793274745,38.38861438903692,37.81018518518518,38.97772194937665,38.13016894160879,40.5631193513702,38.063845863241404,38.21699659992444,38.032407407407405,38.66647903286739,38.07758216253296,40.336033535787976
CanESM5_r10i1p1f1,38.23753782771536,38.34724552238806,37.673181481481485,38.788044444444445,38.415562386622476,40.54841559862188,40.871933703703704,41.13368444444444,40.432711111111104,41.51665555555556,40.29003118947362,42.583625538329024
CESM2_r8i1p1f1,38.27619468363908,38.397398358821334,37.9231962962963,38.96761569788967,38.41984529082419,40.493921701393525,,,,,,
CanESM5_r3i1p1f1,38.56886853932584,38.6842171641791,37.83857037037037,39.37711851851852,38.67530118002234,40.89990392764858,41.494141481481485,41.60707407407407,41.07352592592592,41.994625925925924,40.639186769459364,42.80595918173988
BCC-ESM1_r2i1p1f1,38.15180861423221,38.365036567164175,37.600796296296295,38.91683333333334,38.261332486657594,40.137962747631356,,,,,,
HadGEM3-GC31-LL_r3i1p1f3,38.058846006878106,38.1858774267225,37.7037037037037,39.025130336229694,38.091139227889464,40.50406120136003,37.25443898753306,37.38185493010956,37.050925925925924,37.928462410275785,37.23079445226336,39.58096248292697
