,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020
ERA-5,0.9120782233884345,0.9313594448854947,0.832065163821344,0.8842173801864337,0.701239901112579,0.4851531339940191,,,,,,
JRA-55,0.7692662026650648,0.7860025791391552,0.7555937407657991,0.8917470185597877,0.7018572953807772,0.49584644878014805,,,,,,
MERRA-2,0.6846777919022052,0.7273014161533843,0.6914643832183256,0.762194196169069,0.5968834503446508,0.3546503976066409,,,,,,
NCEP/DOE II,0.7282438967322877,0.7569195234931704,0.6965338777617196,0.8133826164954086,0.6620802056581554,0.49675140542900953,,,,,,
CanESM5_r2i1p2f1,0.14474854498130807,0.1511212412971112,0.13681400814193145,0.14277395126945608,0.09379201933653537,0.09039866031937416,0.01008801774762016,0.009699996399017006,-0.0026531728688477894,0.04623401604161394,0.0372636701262488,0.05259726895150838
MPI-ESM-1-2-HAM_r1i1p1f1,0.15665145475014305,0.15587776345245566,0.09418074968191141,0.14820107927008347,0.09051276302926582,0.07955089029517161,,,,,,
UKESM1-0-LL_r15i1p1f2,0.1202639557891916,0.13020502642048026,0.14905702405827737,0.1451407228455517,0.09412344464175934,0.06203919220616795,0.08522542889721174,0.09655589907477383,0.07580919411797454,0.08142267873580424,0.05189716356559821,0.03630471317330291
CanESM5_r6i1p1f1,0.14672005397633728,0.14293167884682526,0.10835548718642646,0.1219030514606894,0.09945473151610086,0.07792182707537704,-0.04524269897816253,-0.04861493983681918,-0.09674778092277127,-0.04683852666078512,-0.033084534927817114,-0.01555011916379787
CNRM-CM6-1_r4i1p1f2,0.11351840974352638,0.11238715187937193,0.10934296604359921,0.10729781416152907,0.08004979850279734,0.08189469856594851,-0.015945854475663265,-0.01584522611902824,-0.025186515769625092,-0.005490108238201048,-0.00716822290106037,-0.0007549765198036609
CESM2_r9i1p1f1,0.10240222821144389,0.10409898124284064,0.12056404389537079,0.10908687875602728,0.08599399990111085,0.07687072033015738,,,,,,
CESM2_r3i1p1f1,0.11397357091885361,0.11307970272941772,0.08510726401268957,0.0972661902479975,0.08119687867344585,0.09035418853831535,,,,,,
MIROC-ES2L_r6i1p1f2,0.12940672000491438,0.1369842026301426,0.0503656465603292,0.10779143854605093,0.07814072237500932,0.07606362339789555,0.060560875087917104,0.058582037167695944,0.0279646574395067,0.04581596079414298,0.04732874431443655,0.028358254552044278
NESM3_r1i1p1f1,0.09398080890582507,0.09599798009275344,0.13587891480118475,0.09438281987976893,0.08536782782012399,0.06442079326529451,inf,inf,inf,inf,inf,inf
HadGEM3-GC31-MM_r1i1p1f3,0.09576882168796444,0.09326040019094593,0.0981016455934966,0.10998629142969306,0.0845973371406452,0.07433995317794224,0.0931184758106583,0.09310528487832792,0.10637499779949755,0.10127246357681303,0.08401282767594619,0.0763243620805936
CanESM5_r2i1p1f1,0.10286162588804296,0.10843408767456708,0.07222196385070109,0.1264597035766536,0.07845444695604638,0.05494889430339503,0.16714446541310468,0.1672894941871791,0.19291182812646482,0.16968975415578952,0.13223347440283376,0.11814276710481604
ACCESS-ESM1-5_r10i1p1f1,0.09982476347006115,0.09929046448050077,0.08427600834934389,0.1018504684614033,0.08041599774696905,0.07731372827250076,,,,,,
IPSL-CM6A-LR_r4i1p1f1,0.057498590789062956,0.06239234259290464,0.1367735935551509,0.09054293723312021,0.08640652499344344,0.09210777167118067,,,,,,
IPSL-CM6A-LR_r8i1p1f1,0.09608604154189102,0.0957049809120051,0.054981167733698474,0.1282983980139377,0.0761998230365993,0.061682689992113245,,,,,,
HadGEM3-GC31-LL_r1i1p1f3,0.09992586176223861,0.10984051858002297,0.11034136077161692,0.0706360262150201,0.05257942907854791,0.06101039769332709,0.04138638171369917,0.041842362266861194,0.021177518150365365,0.0502948112515954,0.04910133787821917,0.05147666734717012
CanESM5_r6i1p2f1,0.1021629763602393,0.10554218290308846,0.09099080781861395,0.08164389080653321,0.05890707686183095,0.04958571878377672,0.03310026661983864,0.045875791091627455,0.01147028027140351,0.05491554435496545,0.027983919440201482,0.03572566627418012
CNRM-CM6-1_r3i1p1f2,0.10707520398268512,0.10600866555535833,0.10995815244982055,0.08061749302810665,0.05663919075473994,0.026667588723773075,-0.055549819056949445,-0.05712990665040007,-0.07688674855677391,-0.05810601392201028,-0.04863488197191916,-0.04058354160633728
CNRM-CM6-1_r9i1p1f2,0.1013668608462616,0.10377071952646882,0.07071190750575586,0.08368933920205622,0.06188473774268449,0.04728924209675256,,,,,,
MRI-ESM2-0_r3i1p1f1,0.0640238808304528,0.0655836700394024,0.07463447015327405,0.08438969168137309,0.08234829143053887,0.09035838877531824,,,,,,
NorESM2-MM_r1i1p1f1,0.0957516890547779,0.09967714014522867,0.06788837515020908,0.0630656868235133,0.05888566582985214,0.07133528085453059,0.03529470562887127,0.03607451482796105,0.07106979567360887,0.06016598847263555,0.009305370969894623,0.04213828485310318
CMCC-CM2-HR4_r1i1p1f1,0.08448450683829084,0.09239663201606163,0.025052329397189217,0.11775021574908939,0.06838568419855674,0.05569574693665437,,,,,,
CNRM-CM6-1_r10i1p1f2,0.10219341058328954,0.09978477046101669,0.07221606792396858,0.08694009347620271,0.06498373530677501,0.013420018217262537,,,,,,
UKESM1-0-LL_r3i1p1f2,0.07652302978957962,0.08693887253550049,0.07705115126336867,0.06169398853240854,0.07618759141783961,0.0556131639349007,0.02913058489249479,0.024047979645448078,0.030904558722593737,0.01478160998344558,0.005157675625170799,0.021196854214451097
ACCESS-ESM1-5_r22i1p1f1,0.08162563611597502,0.08097041741055576,0.09851544441188813,0.052983936328561854,0.05004618968917371,0.035083314966166575,,,,,,
CESM2-WACCM_r2i1p1f1,0.07746804790454281,0.07945899916685821,0.07621086873243535,0.06375555882503457,0.061344131674768224,0.04018771300855898,0.00825728202646548,0.007649904449536393,0.000602903170769176,0.01638504532080129,0.01632583002255119,0.020768132662080406
MIROC-ES2L_r4i1p1f2,0.07891262572971708,0.07335330304611445,0.05853451975646106,0.08964103801637313,0.054954552506913994,0.039003960133869024,-0.06588081727002368,-0.0631443101216458,-0.062262198576239464,-0.09610535630815384,-0.06660086286177014,-0.06525989113208358
CMCC-CM2-SR5_r1i1p1f1,0.0698015244315635,0.07297951802074513,0.04396887792708183,0.08804531340755786,0.05481405858226847,0.05708602911359788,0.10344945890057425,0.11198547669623583,0.12385824548257049,0.10321555142988457,0.06136181030330898,0.05214555661582077
CESM2-WACCM_r3i1p1f1,0.07806713114425179,0.07509896057112836,0.04935114909816634,0.06265340723274875,0.06447679955079953,0.043155369819898225,0.0008755873410635218,0.0006970729561173478,-0.01080890501666295,0.0037437406777543997,0.020651066585277437,0.009125129720537717
MRI-ESM2-0_r2i1p1f1,0.0493187175606571,0.04916529508996348,0.04954412370672842,0.0650086287752762,0.06858595637906963,0.08051272415949617,,,,,,
CanESM5_r8i1p1f1,0.05352337137458842,0.06133449441033766,0.05146701437399084,0.07260725694480887,0.06832869087934988,0.05454375830637475,0.03667469237173538,0.04518590234461671,0.03343582931220099,0.0394595461530763,0.03545609858053383,0.03440731652229335
HadGEM3-GC31-MM_r3i1p1f3,0.07366315797454373,0.07769791291038712,0.06150739674629286,0.05980784989248462,0.04737247542119811,0.032787346751347445,0.07806439025584323,0.08055441758342803,0.09252289708986487,0.08822414310185128,0.07305386875709152,0.08410827189690465
GISS-E2-1-G_r1i1p1f2,0.06236146212287277,0.0823370214965672,0.04788134756950989,0.06388510830065532,0.044467524062869364,0.035929111208704574,,,,,,
UKESM1-0-LL_r9i1p1f2,0.05183282913921566,0.05633009226749139,0.08145561971039095,0.05779028778989141,0.06285440230836696,0.025164769331384746,,,,,,
GFDL-CM4_r1i1p1f1,0.053957535249197046,0.054570330562070966,0.041869053849497156,0.0747960716480383,0.05177008124812428,0.05201657608289217,0.08838696542005565,0.10022840381090199,0.06981073550294119,0.061691570312292804,0.04797860904435509,0.028481975182083178
BCC-ESM1_r2i1p1f1,0.06425351073063477,0.062357621989204304,0.041548150601591,0.051927040504372905,0.047110116824238296,0.056155555489277045,,,,,,
BCC-ESM1_r1i1p1f1,0.026114197157895338,0.0282363236633008,0.06837905587388668,0.06843299814262446,0.05553726454251542,0.07541909075888008,,,,,,
CanESM5_r9i1p2f1,0.04743741065332207,0.05340384591323118,0.09588634661197708,0.06825997107381454,0.046692453279639536,0.010382798563560855,-0.016615951068657583,-0.00993077174744932,0.0002845251938170228,-0.008766306718686777,-0.011331268203284825,0.021489667282812937
EC-Earth3-AerChem_r1i1p1f1,0.06491612433794348,0.06307309496670374,0.05624533441668493,0.04513830288160416,0.03484366528704872,0.053461159133878916,,,,,,
HadGEM3-GC31-LL_r4i1p1f3,0.05325654415981542,0.04956736103460702,0.08216767262570984,0.05708181198309113,0.04329053243610598,0.030575072037934126,0.14213103964057586,0.14158396247729216,0.1294291467184782,0.14295405819848972,0.11022938112735942,0.11929978048281512
CanESM5_r8i1p2f1,0.053972695080377345,0.04684187535880187,0.08534977735000235,0.04177659748145023,0.05216006013376994,0.02747942320207141,0.037667213231999154,0.03514592576555707,0.044931410231503995,0.05497237188267518,0.028979919478898303,0.04111115057485525
CESM2_r2i1p1f1,0.043848077871625285,0.046212514351028314,0.0908032099288544,0.05652854896068409,0.022011963443914578,0.042449016809457875,,,,,,
ACCESS-ESM1-5_r23i1p1f1,0.06571833606263888,0.07397427211650595,0.035785701554303766,0.06672428629332315,0.023729579247159904,0.029133989963463884,,,,,,
CNRM-ESM2-1_r4i1p1f2,0.025994149373312375,0.032727667106332715,0.0953411079960386,0.05665670858574219,0.04999617157822274,0.033854093518102514,0.07147506512059906,0.07338014898268916,0.07275320099635424,0.07151681388707967,0.062002156587684584,0.05107064221193343
UKESM1-0-LL_r10i1p1f2,0.037874783671415065,0.04082519178909355,0.051329911936078026,0.05649199151802044,0.04581295665108269,0.061529265538022876,,,,,,
CESM2_r5i1p1f1,0.050287729998171826,0.05091881195811254,0.055097739016334975,0.04500550495856572,0.0345376553716297,0.053869326381332884,,,,,,
CanESM5_r9i1p1f1,0.057317931868409694,0.054246449095995686,0.07317076910600882,0.057718893226598504,0.04042185687493645,0.005114630679476944,0.09335026218405637,0.09495374186109949,0.0944575593431576,0.08964337358894708,0.07585123811617811,0.0883756137940252
MPI-ESM1-2-LR_r1i1p1f1,0.05054582774176428,0.05691603553647832,0.06367908642202637,0.04925830895720455,0.030444463098730966,0.032779985324853655,0.10914977010499417,0.10956054008890066,0.06435110070815583,0.09648740770505869,0.058570986239469734,0.06128573775992383
CNRM-CM6-1_r1i1p1f2,0.042394645614333495,0.04826247633895397,0.08476529172098865,0.04490809644604085,0.027872241134911612,0.03237970786998521,-0.041651104503340114,-0.03900581690067321,-0.04517642502741161,-0.03617089464302567,-0.008626001010350921,0.010017394201004639
CNRM-ESM2-1_r1i1p1f2,0.0421970809516969,0.04684421395686876,0.05920568989294556,0.04198465227801468,0.04345978342645651,0.038075610852468675,,,,,,
CMCC-ESM2_r1i1p1f1,0.06257212371076842,0.07273582418200567,0.04269956586552802,0.06042493537849372,0.01511941147316667,0.01352882246352308,0.10135486335512324,0.11041634189069587,0.11954092840395188,0.09622522155138152,0.06746161025544214,0.07809853650630022
CNRM-ESM2-1_r2i1p1f2,0.05138253754724909,0.04367599637575332,0.06891316442111921,0.038073831851237167,0.04329748341452136,0.02149139320293393,,,,,,
