,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020
ERA-5,46.50931677018634,46.29628364389234,46.89637305699482,47.286092132505175,45.64540540583708,46.29247086905189,,,,,,
JRA-55,46.80932971014493,46.54174171842649,47.67163212435233,47.484642857142866,46.09840826174983,46.80526763036008,,,,,,
MERRA-2,46.062698833510076,45.82398462354189,47.3448275862069,47.15870360551432,45.90010548605259,46.80610745113984,,,,,,
NCEP/DOE II,46.41239648033126,46.10204710144928,46.89766839378238,47.19232401656315,46.09791829189897,46.293164004732326,,,,,,
GISS-E2-1-G_r1i1p1f2,46.13768115942029,45.978137681159424,47.25925925925926,46.940398550724645,45.912025446815456,46.988345410628014,,,,,,
EC-Earth3-CC_r1i1p1f1,46.70168949275362,46.62035942028986,47.16933818181818,47.42296376811594,46.04802118074241,47.317447826086955,46.92694565217391,46.70697028985507,48.75653454545455,47.61989855072464,46.33244410169028,46.55240982710399
EC-Earth3_r1i1p1f1,46.79095362318841,46.68856304347826,47.16930909090909,47.31578985507247,46.17699461817762,47.403268637172644,46.872547554347825,46.646258152173914,47.47412328767123,47.28156250000001,46.07670211671911,46.544736651411135
MRI-ESM2-0_r4i1p1f1,46.02687355072463,45.78546413043478,47.075919999999996,46.629246376811594,45.78499223167471,46.261124153460656,,,,,,
ACCESS-ESM1-5_r4i1p1f1,46.408514492753625,46.084057971014495,47.57954545454545,47.078902173913036,46.33682613591155,45.54478742074275,,,,,,
ACCESS-ESM1-5_r40i1p1f1,46.51086956521739,46.18696014492753,48.002272727272725,47.296282608695655,46.4466573794755,45.6671974071558,,,,,,
BCC-ESM1_r2i1p1f1,46.54116268115942,46.48324202898551,46.49951481481481,46.79657608695652,46.221083701535925,46.971836830131444,,,,,,
UKESM1-0-LL_r7i1p1f3,46.800925925925924,46.54346666666667,47.52777777777778,47.286677777777776,45.906395389845336,45.3205698005698,,,,,,
ACCESS-ESM1-5_r34i1p1f1,46.72644927536232,46.48454710144928,47.57954545454545,47.22711594202899,46.137617178825955,45.45813519021739,,,,,,
BCC-ESM1_r1i1p1f1,46.59774311594203,46.49148623188406,46.94387037037037,46.9329420289855,46.34087534905023,47.421147531176274,,,,,,
UKESM1-0-LL_r15i1p1f2,46.43379629629629,46.266644444444445,46.949074074074076,46.97894074074074,45.683406544091426,45.06581908831909,44.88333333333333,44.709659259259254,46.13425925925926,45.42356296296296,44.26984376753932,43.58096866096866
HadGEM3-GC31-MM_r3i1p1f3,46.75905148148148,46.65694814814815,46.48764444444445,47.353522222222225,45.73432464913969,45.8502452183908,48.787437037037044,48.629362962962965,50.31066666666667,48.84021851851852,46.1336618124956,45.699766434227335
ACCESS-ESM1-5_r2i1p1f1,46.494565217391305,46.08364130434783,48.27045454545455,47.328869565217396,46.49491498135108,45.80397984601449,46.35054347826087,45.99990579710145,48.23409090909091,47.099659420289846,46.12100706449966,45.54184358016305
HadGEM3-GC31-LL_r2i1p1f3,46.609722222222224,46.37684074074074,47.898148148148145,46.9064962962963,46.015690972574085,45.45737891737892,45.234722222222224,45.098299999999995,47.76851851851852,45.96667037037037,45.06775936705402,44.338226495726495
ACCESS-ESM1-5_r28i1p1f1,46.0588768115942,45.79721557971015,47.71590909090909,47.19614492753623,46.29453917647961,45.63319463315217,,,,,,
ACCESS-ESM1-5_r31i1p1f1,46.59646739130435,46.27827355072464,48.175,47.08907246376811,46.18052755662947,45.5319435009058,,,,,,
ACCESS-ESM1-5_r14i1p1f1,46.3455615942029,46.16377173913044,47.525,46.601510869565224,46.081203093317164,45.13600401947464,,,,,,
HadGEM3-GC31-MM_r1i1p1f3,46.329831481481484,46.11707407407407,47.094662962962964,46.54844074074074,45.188186898662,45.479941575989784,46.825716666666665,46.630262962962966,47.512329629629626,47.28432222222223,45.25721767788097,45.377220735632186
ACCESS-ESM1-5_r32i1p1f1,45.98867753623188,45.70011956521739,47.73409090909091,47.169822463768114,46.38272959801403,45.72337805706522,,,,,,
ACCESS-ESM1-5_r29i1p1f1,45.846014492753625,45.67453079710145,47.356818181818184,46.77431159420289,46.240780693313916,45.72221042798913,,,,,,
UKESM1-0-LL_r17i1p1f2,46.91574074074074,46.8614925925926,47.916666666666664,47.45352592592592,45.96993418941342,45.541937321937326,,,,,,
GISS-E2-1-G_r1i1p1f1,45.6268115942029,45.34583695652174,46.955555555555556,46.51833333333334,45.7092522604268,46.72311292270531,,,,,,
EC-Earth3-Veg-LR_r1i1p1f1,46.95129855072464,46.76715942028985,47.57757454545454,47.45360144927536,46.6591904120422,47.29443276107274,44.51818152173912,44.23616485507246,47.226839999999996,45.45239855072464,45.75061856335945,46.184316514289584
HadGEM3-GC31-LL_r3i1p1f3,46.28194444444444,45.95724074074074,46.88425925925926,46.615751851851854,45.56058466846924,45.18527777777778,44.50277777777778,44.29409259259259,46.50925925925926,45.20357777777778,44.77482973063437,44.51457977207978
ACCESS-ESM1-5_r25i1p1f1,46.507246376811594,46.23961594202898,48.43863636363636,47.14114855072464,46.295614178969096,45.25990007925725,,,,,,
ACCESS-ESM1-5_r18i1p1f1,46.75815217391305,46.48974094202899,48.11590909090909,47.269373188405794,46.49906615633526,45.47179291213768,,,,,,
ACCESS-ESM1-5_r39i1p1f1,46.69067028985507,46.39521557971015,48.23409090909091,47.16577536231885,46.417411398170174,45.432312896286234,,,,,,
EC-Earth3-AerChem_r1i1p1f1,47.137729710144924,46.96921594202898,47.27901090909091,47.543876811594195,46.313404105501746,47.58448533774049,,,,,,
UKESM1-0-LL_r19i1p1f2,46.025,45.898381481481486,47.226851851851855,46.571188888888884,45.49912718525953,45.17628917378918,,,,,,
ACCESS-ESM1-5_r26i1p1f1,46.03442028985507,45.780463768115936,47.638636363636365,46.81399275362319,45.91591938856098,45.02475373641305,,,,,,
HadGEM3-GC31-MM_r2i1p1f3,46.13950222222223,45.95271481481482,46.65841481481482,46.609351851851855,45.39818149147598,45.49274153512133,46.395889999999994,46.24372592592592,47.851851851851855,47.090237037037035,45.25391039498283,45.31947194125159
UKESM1-0-LL_r6i1p1f3,45.966203703703705,45.81602962962963,46.97222222222222,46.647733333333335,45.57013280327676,45.242656695156704,,,,,,
UKESM1-0-LL_r2i1p1f2,46.39398148148148,46.223374074074066,46.824074074074076,46.672066666666666,45.189742495787826,44.884537037037035,46.56481481481482,46.40857037037037,48.004629629629626,46.90126666666667,45.01097377560438,44.07888888888889
ACCESS-ESM1-5_r21i1p1f1,45.96105072463768,45.625628623188405,47.861363636363635,46.73961956521739,46.32034236158819,45.657417629076086,,,,,,
SAM0-UNICON_r1i1p1f1,46.35456557971015,45.90930797101449,48.31906666666667,47.06402173913043,47.065496575535654,47.458055744808014,,,,,,
ACCESS-ESM1-5_r36i1p1f1,45.768115942028984,45.458922101449275,47.14772727272727,46.45182971014492,45.90810255096122,45.073419100996375,,,,,,
MRI-ESM2-0_r3i1p1f1,45.71358405797101,45.54472536231884,46.47236363636363,46.234094202898554,45.57301649877848,46.26299952255181,,,,,,
ACCESS-ESM1-5_r23i1p1f1,45.84827898550725,45.49792572463768,47.05681818181818,46.48350724637681,45.71196040092692,45.005661231884055,,,,,,
UKESM1-0-LL_r3i1p1f2,46.117592592592594,46.018566666666665,46.81944444444444,46.320625925925924,45.17791160635178,45.103176638176635,45.321296296296296,45.11011111111111,46.666666666666664,45.64469259259259,44.37505512260397,43.8987962962963
ACCESS-ESM1-5_r37i1p1f1,45.731884057971016,45.42576449275362,47.75681818181818,46.58850362318841,46.064448227316326,45.35220646512681,,,,,,
UKESM1-0-LL_r4i1p1f2,46.21574074074074,45.950892592592595,46.875,46.316981481481484,45.324280067453905,44.77009971509971,45.05185185185185,44.860562962962966,46.138888888888886,45.41585185185185,44.236282974699776,43.4582905982906
ACCESS-ESM1-5_r20i1p1f1,46.989583333333336,46.66635144927536,48.28409090909091,47.70447101449275,46.5176936779785,45.495067651721016,,,,,,
CESM2_r6i1p1f1,46.3234713768116,45.9007,48.17450740740741,47.140405797101444,47.141405414086194,48.01963164873749,,,,,,
ACCESS-ESM1-5_r38i1p1f1,45.3713768115942,45.10699094202899,47.429545454545455,46.561847826086954,46.06583874843874,45.53553130661232,,,,,,
ACCESS-ESM1-5_r13i1p1f1,45.49320652173913,45.1663731884058,47.67045454545455,46.50318840579711,45.98145872368478,45.48841570425725,,,,,,
CanESM5_r10i1p1f1,47.293350000000004,47.176419565217394,47.66731851851851,47.91041666666667,47.06079172503533,46.902926971688586,49.80467173913043,49.6216579710145,51.925325925925925,50.324916666666674,48.59576679881887,48.71643175766768
ACCESS-ESM1-5_r1i1p1f1,45.59375,45.22591485507246,46.70227272727273,46.472561594202894,46.12301101630004,45.44676319067029,,,,,,
ACCESS-ESM1-5_r33i1p1f1,45.67164855072464,45.30053985507246,47.679545454545455,46.68327173913043,45.912389199627185,44.88260020380435,,,,,,
ACCESS-ESM1-5_r17i1p1f1,45.76856884057971,45.491159420289854,46.37954545454546,46.5194347826087,45.801750451154966,45.150588768115945,,,,,,
ACCESS-ESM1-5_r19i1p1f1,45.66123188405797,45.372067028985505,47.15681818181818,46.34496739130435,45.54948547103693,45.01753566576087,,,,,,
MRI-ESM2-0_r1i1p1f1,45.447021739130435,45.30299565217392,46.96170181818182,46.011413043478264,45.27951256119743,46.09706263375322,45.338525724637684,45.13535434782609,46.90869454545455,46.07042753623188,45.41282543192639,45.533964655289175
HadGEM3-GC31-MM_r4i1p1f3,46.02880925925926,45.812651851851854,46.59464444444445,46.16575925925926,44.984274578021456,45.40496844189017,45.95802740740741,45.77431111111111,46.97736666666666,46.127551851851855,44.85778988743358,44.82182590804597
MPI-ESM1-2-HR_r1i1p1f1,45.96100942028986,45.68110652173913,47.76469818181818,46.719757246376815,46.79899118633292,48.18307915121897,46.64705036231885,46.434015217391305,49.48858181818182,47.637655797101445,47.76689175707777,48.712183555218516
ACCESS-ESM1-5_r8i1p1f1,45.49592391304348,45.18174094202899,47.138636363636365,46.00039130434783,46.01417394428483,45.210633208786234,,,,,,
ACCESS-ESM1-5_r11i1p1f1,45.447916666666664,45.13717391304348,46.70681818181818,46.327902173913046,45.93300236680158,45.22395125679348,,,,,,
IPSL-CM6A-LR-INCA_r1i1p1f1,45.21262355072464,45.03886811594203,46.58793818181819,46.036144927536235,45.52781354039639,46.91404174060929,,,,,,
UKESM1-0-LL_r12i1p1f2,45.93888888888889,45.78074074074074,46.861111111111114,46.24305925925926,45.1574977357696,44.58478632478633,,,,,,
UKESM1-0-LL_r9i1p1f2,46.0125,45.80906296296296,46.48148148148148,46.04623703703704,45.31702658226019,44.85923076923077,,,,,,
ACCESS-ESM1-5_r7i1p1f1,45.32065217391305,44.91591123188406,46.79318181818182,46.25759057971015,45.99807534783467,45.326837069746375,,,,,,
HadGEM3-GC31-LL_r1i1p1f3,45.704166666666666,45.56848888888889,46.282407407407405,46.46605925925926,45.31429017894486,45.032578347578344,45.79537037037037,45.54701111111111,46.5462962962963,46.503188888888886,44.650167508721786,44.328760683760684
UKESM1-0-LL_r1i1p1f2,45.93240740740741,45.78068148148148,46.083333333333336,46.35468518518518,45.15353208593078,44.94910968660969,43.806481481481484,43.52078148148148,44.74074074074074,44.28338518518518,43.80121846780657,43.233212250712256
ACCESS-ESM1-5_r9i1p1f1,45.33876811594203,44.92789311594203,47.13409090909091,45.911902173913035,45.778065082234555,45.14734771286232,,,,,,
BCC-ESM1_r3i1p1f1,47.292339855072456,47.24727971014493,47.956718518518514,47.764503623188396,47.058690634863645,47.700108493427706,,,,,,
ACCESS-ESM1-5_r30i1p1f1,45.18478260869565,44.9115615942029,47.55681818181818,45.958568840579716,46.037489934725336,45.25332597373188,,,,,,
