,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020
ERA-5,0.44241399470924375,0.41037211635752885,0.19936543363124454,0.15218434272940706,0.05554922326244663,0.12346276205300702,,,,,,
JRA-55,0.6380465505816277,0.6703567320180798,0.7766555643965003,0.39566049657895797,0.1749329506895063,0.2973916620540026,,,,,,
MERRA-2,0.36817881768742566,0.3818891664088859,0.398936929750473,0.06900175701704647,-0.10020919865108269,0.0004277430460604137,,,,,,
NCEP/DOE II,0.22319899467704624,0.19692500795482892,0.45189972242183896,0.013471090671414086,0.06027089755754736,0.0645647585482925,,,,,,
CMCC-CM2-HR4_r1i1p1f1,0.25917477003524864,0.26693250528970913,0.2576545117570253,0.204899579536016,0.13605547409694368,0.11929489802951687,,,,,,
ACCESS-ESM1-5_r4i1p1f1,0.17651410003863421,0.1762849260546263,0.19260217770195415,0.15318894291094262,0.10843586589060182,0.07370280259929837,,,,,,
HadGEM3-GC31-MM_r1i1p1f3,0.1610547412768083,0.16075497767879346,0.18068318020602914,0.16180446478628105,0.09981580558434384,0.06810119043087988,-0.031235021487792038,-0.025507045316312923,0.01939980334840396,-0.06207573783190412,0.001284780652781837,-0.0020402267229508
HadGEM3-GC31-LL_r1i1p1f3,0.1620130845228236,0.16537482033673956,0.1871133959009022,0.12874868162586986,0.08166534843697631,0.036814764069704166,0.03484125473534883,0.024779762446000282,-0.009972370861037978,-0.009994477696945224,-0.012886081083394663,-0.006875846643952672
KACE-1-0-G_r1i1p1f1,0.1385274124927158,0.14040222063115065,0.13697376203677927,0.10923071613138718,0.04497416400974675,0.04024994260718347,-0.052082482447349907,-0.04931334148188059,-0.015716414836856922,0.018592122964682732,0.006582112638247101,-0.010399788393631483
CNRM-CM6-1_r1i1p1f2,0.12000885721562915,0.12970321105021004,0.13346734158484463,0.12816631865011385,0.0767895369686667,0.07530393366796331,0.02829207773446579,0.030181537684803292,0.023321937123686232,0.051631052295764465,0.0417401134279928,0.028034072341821436
CanESM5_r3i1p2f1,0.12774441946883752,0.13249654753085177,0.11616501698068955,0.11504498877579196,0.06656602150377858,0.060624471854437395,0.0629267633384931,0.061927625959045024,0.0658617242587172,0.05940867660359523,-0.013594417412851738,0.029538950642495808
CanESM5_r6i1p1f1,0.1364913239322481,0.13759066110179086,0.14426629891513662,0.1095933193894335,0.09698912543960161,0.046288578282360604,0.14615572188142778,0.1385000084523442,0.10281965949316675,0.12537680538515628,0.028063322922369054,0.03276488832833906
FGOALS-f3-L_r1i1p1f1,0.11019889395881505,0.10982273407015575,0.15055630050134064,0.11815769709883445,0.08775032315689706,0.07301046356415511,,,,,,
ACCESS-ESM1-5_r25i1p1f1,0.15076759720484695,0.1415468060412587,0.07780439267087096,0.1101643098137911,0.08283447814880443,0.06375932400059539,,,,,,
CanESM5_r2i1p2f1,0.10100638770362515,0.09793604234262285,0.12246411551780056,0.11360701419861949,0.060163011034924614,0.057656263934225356,0.09246666401107938,0.09785466167272325,0.13740287495296805,0.0909519360514782,0.019124265187016442,0.02593822341930116
ACCESS-ESM1-5_r28i1p1f1,0.09218906117734471,0.09198593014371646,0.13342662635782798,0.11216312469167534,0.07966927033504688,0.08142224792348234,,,,,,
MIROC-ES2L_r8i1p1f2,0.17337439230123727,0.16841968465812168,0.020928185404707048,0.10633261249959222,0.03118860162560062,0.019242729930416085,-0.11916247360921002,-0.1107656972643779,-0.03149295312373946,-0.09555327560969647,-0.043124774228677304,-0.011841112095268858
