,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020
ERA-5,41.38949275362319,41.477217908902695,41.17054263565891,42.00993530020704,40.76611977695828,42.455063052889145,,,,,,
JRA-55,41.42080745341615,41.4611102484472,41.178940568475454,42.031513975155285,40.86979297567638,42.44280404900642,,,,,,
MERRA-2,41.3986801242236,41.4721350931677,41.15891472868217,42.182893374741205,40.850358173019245,42.841647759576915,,,,,,
NCEP/DOE II,41.18335921325052,41.256739130434774,40.872093023255815,41.81346790890269,40.89543116442068,42.12961349135928,,,,,,
CanESM5_r9i1p1f1,41.44847065217391,41.562938405797105,41.060978947368426,42.08296014492754,41.09358982759249,42.162414147286825,43.04289782608696,43.096590579710146,42.69614736842105,43.92283695652174,41.96190509508348,43.400817694641056
CanESM5_r6i1p1f1,41.321106884057976,41.37169855072464,40.953326315789475,41.90242028985507,41.035117308251664,42.027547337377825,42.87912536231884,42.98658188405797,43.08777192982456,43.51570289855072,42.04555717422166,43.303715520728005
CanESM5_r2i1p2f1,41.43232137681159,41.51817971014493,41.08060701754386,42.21894927536232,41.32282169524629,42.38935923491743,42.398902173913044,42.47339347826087,42.10868771929824,43.11176811594203,41.53409699820496,42.80688099932592
MIROC6_r1i1p1f1,41.215492391304345,41.3581,41.489487364620935,41.86215579710145,40.64114621381705,42.39772625745951,42.14021014492754,42.20465869565218,41.54432014388489,42.55308695652174,41.40954300342979,42.55788615089514
MPI-ESM1-2-LR_r1i1p1f1,41.43895688405797,41.521840579710144,41.496743682310466,42.0153152173913,40.93793958857207,42.82863502787068,41.400435144927535,41.4640847826087,41.189820143884894,41.94002173913043,40.82027202157758,42.50876894091416
BCC-CSM2-MR_r2i1p1f1,41.322690217391305,41.393258333333335,41.46938596491228,41.844677536231885,40.684754198434135,42.791580841121494,,,,,,
UKESM1-0-LL_r18i1p1f2,41.420833333333334,41.55611481481482,40.80555555555556,42.02827407407407,40.68163790926867,42.044451566951565,,,,,,
UKESM1-0-LL_r7i1p1f3,41.141666666666666,41.26698148148149,40.81944444444444,41.92304444444444,40.80958815568231,42.062407407407406,,,,,,
CanESM5_r10i1p1f1,41.415109057971016,41.48201086956522,41.36451578947368,41.74126086956522,40.95257592426796,41.98202607010448,42.172392028985506,42.22381739130435,42.226140350877195,42.881166666666665,41.58332172823007,42.78702614593866
UKESM1-0-LL_r19i1p1f2,41.52407407407407,41.68675185185185,40.875,42.14997037037037,40.96271700544384,42.102628205128205,,,,,,
TaiESM1_r1i1p1f1,41.03813514492754,41.187745652173916,40.89561403508772,41.91174275362319,40.182218411285916,42.389884991782466,43.656411956521744,43.73016449275362,43.29625614035088,43.977826086956526,41.531315791245035,43.3757081839235
CMCC-ESM2_r1i1p1f1,41.11529311594203,41.21504746376811,41.007999999999996,41.69530797101449,40.486616843333195,42.01926351411923,42.69145253623189,42.82604673913043,43.22351578947369,43.04429347826087,40.93394415627664,42.66723764380696
CanESM5_r1i1p2f1,41.586991304347826,41.76239855072464,41.560357894736846,41.99386594202899,41.0706349975487,42.08881420626896,42.64555072463768,42.868146376811595,42.45135789473684,43.39167753623188,41.72655112649142,43.220591422312104
UKESM1-0-LL_r6i1p1f3,41.6125,41.67636666666667,41.18518518518518,42.089359259259254,40.6454831089149,41.690306267806264,,,,,,
BCC-ESM1_r1i1p1f1,41.54151123188406,41.61030289855073,41.6484947368421,41.92824637681159,41.14787891293418,42.08250574654533,,,,,,
CanESM5_r1i1p1f1,41.65067826086957,41.70423550724638,41.47221052631579,42.1599384057971,41.07858343254957,42.042260372430064,42.8821634057971,42.90351811594203,42.324091228070166,43.573003623188406,42.058258256561466,43.33023755476913
CanESM5_r3i1p1f1,41.184599275362324,41.2824152173913,40.60081052631579,41.66494565217391,40.940245354023006,41.88385528311426,44.20661739130435,44.292492753623186,43.60670526315789,44.447862318840585,42.66183857215649,43.63573980451635
UKESM1-0-LL_r4i1p1f2,41.6037037037037,41.79112222222222,41.3287037037037,42.245400000000004,41.16102247291285,42.022136752136745,42.19861111111111,42.29326666666667,41.7037037037037,42.46928888888889,40.848390300307145,42.024131054131054
BCC-ESM1_r2i1p1f1,41.37064202898551,41.461799275362324,41.560347368421056,41.66869927536232,40.66375540531664,41.641626247050894,,,,,,
CanESM5_r7i1p1f1,41.86098369565217,41.860572463768115,41.30577543859649,42.21995652173913,41.24117950045804,42.29944166666667,43.02268152173913,43.02972536231884,43.087754385964914,43.79124637681159,41.99612454328255,43.19012912874958
UKESM1-0-LL_r8i1p1f2,41.83611111111111,41.89204814814815,41.18518518518518,42.58085555555555,40.88845044664773,42.144173789173784,41.77361111111111,41.92517407407407,41.217592592592595,42.47979629629629,41.14059042363589,42.23143162393163
CanESM5_r4i1p2f1,41.86906268115942,41.8790115942029,41.100175438596494,42.510644927536234,41.228582752822376,42.32645335355578,43.497838405797104,43.484948550724646,42.34362456140351,43.81905434782609,41.754845383821454,43.17116888270981
CanESM5_r7i1p2f1,41.81043115942029,41.89070072463768,41.35475789473684,42.21665942028985,41.288679575298744,42.197420374115275,42.84172246376812,42.83796521739131,42.31427719298245,43.21847463768116,41.810059301247904,43.062216675092685
FGOALS-g3_r1i1p1f1,40.92976051893408,40.95758345021038,40.864551020408165,41.33389551192146,40.52606315771224,42.27290908881889,40.326860869565216,40.399884782608694,40.19721403508772,40.64646739130435,39.73165805054938,41.50479200522689
UKESM1-0-LL_r10i1p1f2,41.849074074074075,41.948329629629626,41.675925925925924,42.1181,40.79153936557571,41.8791452991453,,,,,,
CanESM5_r5i1p2f1,40.95814855072464,41.01352101449275,40.60082105263158,41.492702898550725,40.82470332145963,41.67353993933266,41.97219202898551,42.10629057971015,41.315564912280706,42.626510869565216,40.79372502883766,42.46752158746208
HadGEM3-GC31-LL_r4i1p1f3,41.24305555555556,41.344803703703704,40.64351851851852,41.57006666666666,40.362766142291385,41.382571225071224,41.261574074074076,41.42161111111111,41.08796296296296,41.998003703703695,40.534324719908355,41.88461538461538
UKESM1-0-LL_r17i1p1f2,41.92685185185185,42.07453703703704,41.44444444444444,42.63875925925926,41.23130427363344,42.38483618233618,,,,,,
CanESM5_r4i1p1f1,40.90454456521739,41.00220362318841,40.85539298245614,41.378818840579704,40.63779199136519,41.698317281766094,42.87201666666667,42.942647101449275,42.37300350877193,43.49094202898551,41.82961556363779,43.07373137007078
MPI-ESM1-2-HR_r1i1p1f1,40.866210144927535,40.93930797101449,40.78651263537906,41.425931159420294,40.14789049782218,42.25298886361083,40.816372101449275,40.93558405797101,40.70535251798561,41.38940942028986,40.30884663424344,42.15706234411864
HadGEM3-GC31-LL_r5i1p1f3,40.98935185185185,41.06444074074074,40.875,41.498333333333335,40.458834076215226,41.451203703703705,,,,,,
UKESM1-0-LL_r3i1p1f2,42.01342592592592,42.183396296296294,41.513888888888886,42.617777777777775,41.01283046112927,42.21433760683761,41.97962962962963,42.06904444444445,41.84722222222222,42.62825185185185,41.047357494108,42.14061253561253
HadGEM3-GC31-LL_r3i1p1f3,42.09444444444444,42.11204814814815,41.40277777777778,42.42282592592593,41.295393872577776,42.093133903133904,40.81481481481482,40.93018518518519,40.71296296296296,41.30207407407408,39.85701333345938,41.10124643874644
UKESM1-0-LL_r5i1p1f3,41.993981481481484,42.05941851851851,41.888888888888886,42.63919259259259,41.27314918609416,42.20675925925926,,,,,,
HadGEM3-GC31-LL_r2i1p1f3,40.95231481481481,40.99118518518519,40.736111111111114,41.392637037037034,40.25202581167403,41.37093304843305,41.06620370370371,41.208577777777776,40.8287037037037,41.47624074074074,40.32826787986281,41.36146723646724
EC-Earth3-AerChem_r1i1p1f1,40.60128514492753,40.67691666666667,40.799234657039705,41.326442028985504,39.91880367768098,42.30531217052293,,,,,,
UKESM1-0-LL_r12i1p1f2,42.19444444444444,42.30714444444445,42.0462962962963,42.48904074074074,41.07533498968065,42.110078347578344,,,,,,
HadGEM3-GC31-LL_r1i1p1f3,42.133796296296296,42.24803703703704,42.15277777777778,42.49737037037037,41.17231053197016,42.121695156695154,42.26435185185185,42.34270740740741,42.30555555555556,42.85583703703704,41.093504447265104,42.20524216524216
CanESM5_r6i1p2f1,42.19060507246377,42.255825362318845,41.72680350877193,42.78044565217391,41.63927194390114,42.46455239298955,42.502009782608695,42.621205072463766,41.97157543859649,43.17949275362319,41.72436710233372,42.86164081563869
UKESM1-0-LL_r1i1p1f2,42.230555555555554,42.3581,41.861111111111114,42.77819259259259,41.23179825479132,42.306082621082616,41.98009259259259,42.079462962962964,41.7037037037037,42.33124814814815,40.87248901027304,41.83943732193732
NESM3_r1i1p1f1,42.18438514492754,42.25606739130435,42.0691119133574,42.66940942028986,41.25158336619204,42.67448951505017,41.136869565217395,41.144217391304345,41.13911111111112,40.885543478260864,39.63838372486914,41.23728678929766
BCC-ESM1_r3i1p1f1,40.736711594202895,40.8435115942029,40.84560350877193,40.99813043478261,40.37792907233475,41.42679972194136,,,,,,
CMCC-CM2-SR5_r1i1p1f1,42.19124166666667,42.2137268115942,41.8677298245614,43.051826086956524,41.28454308062167,42.61725899447184,43.52835688405798,43.6906865942029,43.73607017543859,44.17098550724638,41.675223462894905,43.71781994994771
EC-Earth3-CC_r1i1p1f1,40.63000869565217,40.73938260869565,41.270447653429606,41.383532608695646,39.635721542390236,41.704286043308755,42.38999094202899,42.46334782608696,42.07746402877698,43.06748550724638,41.04715720827719,43.15267701923892
UKESM1-0-LL_r2i1p1f2,42.21805555555556,42.28784074074074,42.023148148148145,42.997703703703706,41.32644778053249,42.64771367521367,42.37407407407407,42.43821851851852,42.28703703703704,42.93381481481481,41.55123688821212,42.191552706552706
CanESM5_r9i1p2f1,40.59414384057971,40.663200724637676,40.453968421052636,41.129297101449275,40.43341925952891,41.58428008088979,42.357434420289856,42.44101884057971,42.41220701754386,43.04182246376812,41.52490121760895,42.942636349848335
UKESM1-0-LL_r16i1p1f2,42.454166666666666,42.60485555555555,41.888888888888886,42.93598518518519,41.31229848872509,42.477606837606835,,,,,,
BCC-CSM2-MR_r3i1p1f1,42.27187246376812,42.37495253623189,42.283940350877195,42.89751449275362,40.89654468685104,43.15082707910064,,,,,,
CanESM5_r8i1p2f1,42.23408586956522,42.30615144927536,41.81491578947369,42.91802898550724,41.98911841126679,42.71116446747557,42.47974891304348,42.56194130434783,41.85410175438597,43.05116666666667,41.339374525487834,42.610982574991574
CanESM5_r5i1p1f1,40.69727355072464,40.68781811594203,40.17,41.05684057971015,40.24273615456164,41.51985313447928,42.44638369565217,42.50010579710145,42.32405964912281,43.147949275362315,41.4035948805759,42.659587874957865
FGOALS-f3-L_r1i1p1f1,42.25833333333333,42.333608695652174,42.26140350877193,42.85723550724638,41.14132389199023,43.3045101147343,,,,,,
ACCESS-ESM1-5_r11i1p1f1,42.49728260869565,42.539271739130434,42.50225631768953,42.714438405797104,41.44161727239869,42.45101619112319,,,,,,
UKESM1-0-LL_r9i1p1f2,42.4787037037037,42.7544037037037,42.14351851851852,43.06657037037037,41.13581866041142,42.32117521367521,,,,,,
ACCESS-CM2_r1i1p1f1,40.67663043478261,40.7998115942029,40.58664259927798,41.165735507246374,39.76577382466093,41.100522575250835,41.33695652173913,41.489355072463766,41.65467625899281,41.75475362318841,40.26236948571987,41.43786928651059
HadGEM3-GC31-MM_r3i1p1f3,40.53516666666667,40.646499999999996,40.34978888888889,40.98285185185185,39.93139183923256,41.577706945083015,40.68537851851852,40.769540740740744,40.18313333333333,41.252040740740746,39.821854892977655,41.50747830651341
CanESM5_r2i1p1f1,40.42026231884058,40.4027347826087,40.04273684210526,40.99803260869565,40.438978669122534,41.558977864846646,42.76686413043478,42.920486231884055,42.4219649122807,43.23106884057971,41.57883970983793,42.94975240141557
CNRM-ESM2-1_r4i1p1f2,40.58109855072464,40.64099456521739,39.967350180505406,40.93638043478261,40.16483382304144,41.49526313299233,40.538450000000005,40.64911304347826,40.24428776978417,41.063634057971015,40.095017138845016,41.67080054134697
EC-Earth3_r1i1p1f1,40.4332231884058,40.5471152173913,40.21151985559567,40.96780434782609,39.44506783115597,41.96046140138995,43.72705163043479,43.78888586956521,43.138602739726025,44.01504076086957,41.43241306264692,43.52935041634884
MIROC-ES2L_r3i1p1f2,40.19274746376812,40.22509637681159,40.35287725631769,40.81278623188406,40.23129072322922,41.63785903269296,41.437374275362316,41.487426811594204,41.11621942446043,41.67677898550724,40.96027140258804,41.74617665992585
UKESM1-0-LL_r15i1p1f2,42.65601851851852,42.715577777777774,42.1712962962963,43.24042962962963,41.6933035931054,42.538589743589746,42.43935185185185,42.5322,42.5,42.908829629629636,41.42281201400647,42.35844017094017
CESM2-WACCM_r3i1p1f1,42.466767028985515,42.533244565217394,42.41329824561404,42.93075362318841,41.39982375265079,43.29489240251009,43.09197028985508,43.17443224637681,43.00854035087719,43.33423188405798,41.76863861348642,43.243717641565816
