,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020
ERA-5,0.2632277061773562,0.2609333044994305,0.2270873062772988,0.20889030270027037,0.0807457444977882,0.19055376755669778,,,,,,
JRA-55,0.257988445251502,0.25789660911245477,0.21757288505265512,0.30867728289101,0.0855898917609535,0.18115789788685066,,,,,,
MERRA-2,0.07372655347525173,0.08693062628111647,-0.07204996120284907,0.152201283446398,-0.04459142085255784,0.062073138622565346,,,,,,
NCEP/DOE II,0.1018783247460415,0.13097826743641097,-0.15354400310031116,0.21030417857261513,0.01136410776054601,0.12064531715965261,,,,,,
HadGEM3-GC31-MM_r1i1p1f3,0.12560902819753678,0.12401882906085811,0.10336347558575787,0.1266450754042733,0.10127247957251484,0.09212234786561904,0.04847305951214078,0.04593875262485993,0.05413016440961567,0.041633770811910546,0.03196557775569886,0.0024688247437941084
CNRM-CM6-1_r1i1p1f2,0.12520338498189798,0.12908349228065918,0.16244793954654496,0.13520765762763567,0.06706140563894168,0.07521239001696574,0.06289872544031062,0.06744054336264302,0.08069197222982992,0.058521175952537974,0.01942818666457007,0.02157126978113141
CESM2_r9i1p1f1,0.14324758561518586,0.1328315905320014,0.16082369210417075,0.12427772924591561,0.12951715616145718,0.11366086105390677,,,,,,
UKESM1-0-LL_r18i1p1f2,0.10708536711779935,0.10297994648926309,0.08433983218156198,0.0842948095980744,0.06569399032536463,0.06976393416756674,,,,,,
CanESM5_r6i1p1f1,0.10764198256917969,0.10671653367880504,0.08169558691588659,0.10468457245320514,0.08489703551050172,0.06154176512141187,-0.003387439666529358,-0.00044221155467885534,-0.022305567581160948,-0.005899151273533024,-0.013964365785660224,0.014108377814436765
EC-Earth3_r1i1p1f1,0.1008118567335126,0.09704729537447983,0.08441208502823126,0.11669756593852788,0.09347646394623987,0.06845619469422692,-0.023751628891994267,-0.02783943386830009,-0.06458494356542242,0.0020647859706673334,0.00562840693975521,0.017745414692792193
CNRM-CM6-1_r9i1p1f2,0.0766884531796975,0.08328860528397714,0.04718369289558323,0.07908477316445622,0.06539393557181644,0.08127318444069025,,,,,,
