,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020
ERA-5,45.75719518576661,45.79805337519623,45.25130890052356,46.209471480900056,44.89992663831077,46.73863366071158,,,,,,
JRA-55,45.81207482993197,45.90463631606489,45.37303664921466,46.321787022501304,45.14840122473912,46.94124695873591,,,,,,
MERRA-2,45.692317916002125,45.78592503987241,45.189153439153436,46.366714513556616,45.03054407298248,47.2006442940449,,,,,,
NCEP/DOE II,45.7947409733124,45.77330193615908,45.117801047120416,46.220345368916796,45.16231298931838,46.836120633496726,,,,,,
CNRM-CM6-1_r1i1p1f2,45.8090717948718,45.858957875457875,45.12830882352941,46.28552380952381,44.907136765071456,46.72220937297996,48.40121391941393,48.52455787545788,47.950360294117644,48.80280952380953,46.91247708874606,48.69502028011205
CNRM-ESM2-1_r4i1p1f2,45.85833516483517,45.84371501831502,45.08713602941177,46.1175750915751,44.879809119068405,46.60882071967249,47.51564029304029,47.54712527472527,47.04403676470588,47.93878021978022,46.5399605527617,48.355996849816854
HadGEM3-GC31-MM_r3i1p1f3,45.82591925925926,45.94370740740741,45.81687407407408,46.27326296296296,45.088219964936684,46.62867596679438,47.28353666666666,47.29295555555556,47.082292592592594,47.549529629629625,46.20490677451486,46.967289289910596
CNRM-CM6-1_r4i1p1f2,45.72493333333333,45.7412619047619,44.71629411764705,46.250523809523806,44.882188974568955,46.654896875673344,48.171901831501835,48.23499487179488,47.16249632352941,48.645747252747256,47.188195478483394,48.88047761689291
CNRM-CM6-1_r2i1p1f2,45.970203663003666,46.01859706959707,45.36516911764706,46.3001978021978,44.8533501841275,46.57439714716656,47.42895091575091,47.43210586080586,46.956511029411764,48.00367399267399,47.057350046707775,48.54267293255763
CESM2-WACCM_r1i1p1f1,45.70474578754579,45.69689120879121,45.291451851851846,46.25772161172162,45.535978919057705,47.34060655186738,46.96818901098901,46.96327728937729,46.75393333333334,47.518190476190476,46.36248541789841,48.25437241796004
CESM2_r3i1p1f1,45.85801245421246,45.86734908424909,45.277455555555555,46.21915750915751,45.68645018476505,47.34656197651146,,,,,,
UKESM1-0-LL_r7i1p1f3,45.75138888888889,45.759751851851846,45.541666666666664,46.02929259259259,45.27099470472828,46.47111823361823,,,,,,
UKESM1-0-LL_r19i1p1f2,45.60740740740741,45.64186296296296,45.236111111111114,46.02460000000001,44.97198362059641,46.255462962962966,,,,,,
BCC-CSM2-MR_r2i1p1f1,45.96290512820513,46.04630183150183,44.98823703703704,46.433952380952384,45.47583054580347,46.81144783471981,,,,,,
HadGEM3-GC31-MM_r2i1p1f3,45.63477703703704,45.72086296296296,45.27159259259259,45.94482962962963,44.78376997908501,46.406681999999996,47.09547370370371,47.14003703703704,46.617281481481484,47.493485185185186,46.11138107906208,47.044975111111114
UKESM1-0-LL_r6i1p1f3,45.736111111111114,45.75102592592593,45.666666666666664,46.07914074074074,45.28344491872361,46.42433048433048,,,,,,
UKESM1-0-LL_r1i1p1f2,45.523148148148145,45.577222222222225,45.361111111111114,45.98793333333333,45.08720265177469,46.391830484330484,47.39537037037037,47.37181481481482,47.48148148148148,47.50917407407407,46.05861237086803,46.46252849002849
UKESM1-0-LL_r2i1p1f2,45.64212962962963,45.729251851851856,45.486111111111114,46.02761481481481,45.0289463732966,46.20740028490028,47.01481481481481,47.07048888888889,46.97222222222222,47.26577037037037,45.84936814531527,46.44287037037037
UKESM1-0-LL_r4i1p1f2,45.599074074074075,45.6697037037037,45.30555555555556,45.887322222222224,45.0214418844938,46.25919515669516,46.35740740740741,46.31012962962963,46.449074074074076,46.72700740740741,45.70973673958748,46.06153133903134
CESM2_r8i1p1f1,45.57081575091575,45.5211304029304,45.21463333333334,46.13262637362637,45.547760290233704,47.317612038820286,,,,,,
UKESM1-0-LL_r9i1p1f2,45.53333333333333,45.64075555555556,45.10648148148148,45.923151851851856,45.09706450618727,46.29972934472934,,,,,,
CESM2_r7i1p1f1,45.846259340659344,45.737275457875455,45.50435925925926,46.38847252747253,45.663980028571416,47.36925655753181,,,,,,
CNRM-CM6-1_r3i1p1f2,45.85063956043956,45.959458974358974,44.62876470588236,46.50871428571429,44.80499692492643,46.65568523594053,48.124163003663,48.17444798534798,47.080069852941186,48.647553113553116,46.93462772896585,48.547497341090285
CMCC-ESM2_r1i1p1f1,45.788960439560434,45.832342857142855,45.507844444444444,46.55394505494505,45.65559563288705,47.34029492088667,46.73516666666667,46.71885531135531,46.75044444444445,47.43955677655677,46.472485526826254,48.471165224122956
CESM2_r9i1p1f1,45.822104029304036,45.80870732600733,45.577666666666666,46.363120879120885,45.66212244284347,47.442875918583134,,,,,,
UKESM1-0-LL_r16i1p1f2,45.51759259259259,45.59558888888889,45.208333333333336,45.7788925925926,44.95130622165464,46.40474358974359,,,,,,
