,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020
ERA-5,-0.13671536922421668,-0.1486297730837705,-0.2370227566129544,0.17040009043327933,0.15020500605196913,0.11851160098159176,,,,,,
JRA-55,0.010777177603193045,-0.04406686092901026,-0.19160459759884066,0.12078060000478652,0.18672739976733407,0.16225563772605392,,,,,,
MERRA-2,0.0060430937196057554,0.04691381133368492,-0.19201202914820248,0.06817894485090249,0.07864040996109657,-0.004103100787225791,,,,,,
NCEP/DOE II,-0.07454176615251817,0.00125713346157332,-0.24534323275291883,-0.008920505732977351,0.11694393623985061,0.09105050329771748,,,,,,
KACE-1-0-G_r1i1p1f1,-0.038186628734423335,-0.03976765256935854,-0.055304035756013205,-0.02528665541896143,-0.014022206900169858,-0.004108169040077951,0.007130647362837133,0.006211024339523972,0.0074880317810415075,0.005041138265936927,-0.004303679148764735,-0.005260889748141712
BCC-ESM1_r3i1p1f1,0.03863293683407431,0.04262690849987772,0.031104344463603807,0.051584363317251,0.06477818177236484,0.07291954251098982,,,,,,
CESM2_r3i1p1f1,-0.022805741064653592,-0.024327471853002314,-0.04321375611084379,-0.013770526048205545,-0.008470361642052343,0.005798557047179311,,,,,,
ACCESS-ESM1-5_r9i1p1f1,-0.03440658431933559,-0.03514008544177839,-0.02341247087321083,-0.01826954383176788,-0.006107456126780752,0.004549340267535166,,,,,,
IPSL-CM6A-LR_r3i1p1f1,-0.004268203060644184,-0.0056184891088362525,-0.008771164097140627,-0.015055385588535218,0.03423796017448151,0.03429665858130473,0.1434134863810837,0.1465602173580343,0.1538382270574512,0.1578144160796475,0.08862279965881789,0.06548634259314766
CNRM-CM6-1_r2i1p1f2,-0.048160207416133055,-0.04923908427667517,-0.0816370068751004,-0.023592605267054,-0.04224729213510012,-0.015192107984734927,0.05192781176198823,0.04871439046437072,0.07157521290992988,0.02900215147494564,0.04869717110730578,0.04909270661740046
CESM2-WACCM_r1i1p1f1,0.012499316701751268,0.011403133404941996,-0.019293487592657817,0.02838716160488716,0.034578590657734914,0.01083562366186823,0.03126647166451174,0.029657330928327154,0.06610090269603379,0.05508900700934305,0.0461019470237505,0.04427595417772558
ACCESS-ESM1-5_r28i1p1f1,-0.00535714233955727,-0.0005707451297660551,-0.024911513719899858,0.016508536653058143,0.0015784408247715622,0.006982005684549143,,,,,,
CNRM-CM6-1_r7i1p1f2,-0.044325937825628464,-0.044124299418336246,-0.04276436530069473,-0.018583370414986655,-0.020253878736595697,-0.021213561187336145,,,,,,
CNRM-ESM2-1_r5i1p1f2,0.014493989806405533,0.014767609494439109,-0.0549030092743692,0.020702834948139806,0.008829639385849146,-0.00011422335902428107,0.07771535206190242,0.07977573505304404,0.07764569309930905,0.07382581395422715,0.08072096563095416,0.04783589937817161
INM-CM5-0_r1i1p1f1,0.00878397611664467,0.007664687513723554,-0.018372364992481544,0.018126660379680054,0.013460287178745523,0.018285594812240166,-0.01568804970043511,-0.014467119794080096,0.008054738141546895,-0.021998229756302713,-0.027921432714739007,-0.007885406179442674
ACCESS-ESM1-5_r29i1p1f1,-0.023778693186915577,-0.020418126499898916,-0.03188388381664537,0.004895646641728035,-0.03160972797270892,0.000615677936717271,,,,,,
ACCESS-ESM1-5_r12i1p1f1,0.050530809269180715,0.04767754974053246,0.015195295526403396,0.05750806279190234,0.04794651932691156,0.053058288228943845,,,,,,
ACCESS-ESM1-5_r30i1p1f1,-0.012682690770826208,-0.013881294521673703,-0.011181900537605498,0.005636082533666466,-0.0035246749936657185,0.0020062507257835277,,,,,,
MRI-ESM2-0_r1i1p1f1,0.007044247884470594,0.01002976317655963,0.007436085186759997,0.016670513078965683,0.027808453475845717,0.021407327837712056,0.054776082431687724,0.05011413939511423,0.03611276707182606,0.04825543882994349,0.017650653904583473,0.009421410368973976
CanESM5_r3i1p2f1,0.012765774729235223,0.011930737593189878,0.027422780477384282,0.034814061912135916,0.036944123297690735,0.020182142579530486,0.04809954066653947,0.051481598378324896,0.04713386570718212,0.05065016687585161,0.03239062420380903,0.027552691328254556
IPSL-CM6A-LR_r5i1p1f1,0.010341797498649259,0.011631076662849365,-0.005748068389468963,0.015158862379167973,0.014488041635784226,0.025682722082651394,,,,,,
NorESM2-LM_r1i1p1f1,0.004961773301789271,0.0081613095722343,0.011851852046593949,0.02314796818994237,0.011392169679754323,0.028536035878898674,-0.0002633366542249664,-0.0027640396429953577,0.03415981863141263,0.0018825363425126942,9.577225261258766e-05,0.005054313330414915
IPSL-CM6A-LR_r7i1p1f1,-0.02092907105606509,-0.026819683665194535,-0.03240539000057799,-0.013743280088384813,-0.02342557535950142,-0.0071336449424850516,,,,,,
ACCESS-ESM1-5_r33i1p1f1,-0.03401372991423606,-0.03162571468590967,-0.010050443326402201,-0.027177691503219872,-0.01574098401082972,0.0029715338274730265,,,,,,
HadGEM3-GC31-LL_r1i1p1f3,-8.999791868473431e-05,-0.007095569782782179,0.02316162026665041,0.008809174104232041,0.01876896422748037,0.02292124003773921,0.057567068913513215,0.05784192446616228,0.05012562255924549,0.0693160775701211,0.0585929443272066,0.010690643060796095
ACCESS-ESM1-5_r36i1p1f1,-0.03313751036487365,-0.02244875707115141,-0.025132772900076265,-0.013967312863894089,-0.0210281634473661,-0.011296810990583496,,,,,,
ACCESS-ESM1-5_r32i1p1f1,0.004212309729687022,0.004567440662605328,-0.01272358670042769,0.0018907073805440801,0.016611635063890948,0.011396169369630053,,,,,,
UKESM1-0-LL_r11i1p1f2,-0.027468451013376447,-0.0316871531624198,-0.029320365277457742,-0.03831375465893157,-0.01428916530339882,-0.003514316772930264,,,,,,
CESM2_r5i1p1f1,-0.03816283775639194,-0.03959670630775271,0.0025921849330685105,-0.030563916938616303,-0.010970128218769427,0.005426656590782778,,,,,,
HadGEM3-GC31-LL_r2i1p1f3,-0.043342286754510975,-0.04139134022900664,-0.03828814806664666,-0.030589614479925708,-0.027553963563628343,-0.02245969816317116,-0.008587158799415587,-0.008281945969409616,-0.0007552901304032193,-0.002213953290271026,0.01006593172266606,-0.012449438614878702
IPSL-CM6A-LR_r2i1p1f1,0.007624758441290988,0.0091960126159099,0.025080698155214274,0.011123558177765627,0.021696928046058283,0.04003551726330606,0.0007112702416650591,-0.005634870136466636,0.015510722895720913,0.006836030299480162,0.019957942654976326,0.015504327773894426
CanESM5_r6i1p2f1,0.039643689683248926,0.0396898766182408,0.0031754720284451247,0.052215226273916976,0.029142076169763748,0.030774835642429724,0.09055146644197976,0.09578147825417632,0.05988650614610715,0.08663926049247893,0.05573440730955683,0.06304188041967065
UKESM1-0-LL_r2i1p1f2,0.014067487941754418,0.015024134868315874,-0.0012294192651536612,0.03050189036647825,-0.0025714004674276423,0.027135834410980542,0.02606197930952766,0.02973055026156146,0.022746257311809882,0.028706561138090458,0.019208911951900155,-0.008490130552141343
CanESM5_r10i1p1f1,-0.03035303992941558,-0.03523863333208657,0.005813455058221143,-0.0213584076740716,-0.008651946001443167,-0.003352258335785689,0.08978070958572998,0.0855727434549602,0.07474925180761814,0.08359920668912493,0.05353383291142971,0.057821980973436625
CNRM-CM6-1_r3i1p1f2,-0.003982078554679986,-0.0060115697435413765,0.03569105476658518,0.014015113873318502,0.017910058423447398,0.01860520962811381,0.05416138097238941,0.04814412487111301,0.06226230376874165,0.0280522590056076,0.037574557619343564,0.012219588143360507
CESM2-FV2_r1i1p1f1,-0.013299993774376457,-0.014553307062105749,-0.019630953552799004,-0.015935805484141266,-0.0033012758842775824,-0.0040096575820054514,,,,,,
UKESM1-0-LL_r16i1p1f2,0.01936941746064883,0.018997986422023955,-0.016783823154382756,0.010716886118689805,0.018615706194723237,0.016482509787279248,,,,,,
CNRM-CM6-1-HR_r1i1p1f2,0.02053246146096091,0.018217946203935118,-0.007119865926010113,0.021463176588184262,0.016304169031692118,0.01790061500791065,,,,,,
