time,jet_lat
1981-01-01,32.75
1981-01-11,31.5
1981-01-21,37.0
1981-01-31,30.75
1981-02-10,33.0
1981-02-20,38.0
1981-03-02,39.25
1981-03-12,39.5
1981-03-22,38.25
1981-04-01,45.75
1981-04-11,38.0
1981-04-21,42.5
1981-05-01,45.75
1981-05-11,38.0
1981-05-21,38.25
1981-05-31,38.0
1981-06-10,39.5
1981-06-20,34.5
1981-06-30,44.0
1981-07-10,45.25
1981-07-20,45.5
1981-07-30,70.0
1981-08-09,50.5
1981-08-19,45.75
1981-08-29,45.0
1981-09-08,43.75
1981-09-18,46.5
1981-09-28,41.5
1981-10-08,44.75
1981-10-18,46.75
1981-10-28,42.5
1981-11-07,38.75
1981-11-17,42.75
1981-11-27,39.75
1981-12-07,37.5
1981-12-17,40.0
1981-12-27,32.0
1982-01-06,33.25
1982-01-16,45.0
1982-01-26,34.0
1982-02-05,27.75
1982-02-15,32.25
1982-02-25,39.75
1982-03-07,47.75
1982-03-17,37.5
1982-03-27,44.75
1982-04-06,50.75
1982-04-16,42.5
1982-04-26,39.0
1982-05-06,45.0
1982-05-16,39.5
1982-05-26,46.5
1982-06-05,46.0
1982-06-15,44.5
1982-06-25,38.25
1982-07-05,46.75
1982-07-15,52.25
1982-07-25,55.25
1982-08-04,48.0
1982-08-14,70.0
1982-08-24,50.0
1982-09-03,45.75
1982-09-13,42.0
1982-09-23,46.0
1982-10-03,44.75
1982-10-13,57.75
1982-10-23,48.0
1982-11-02,45.5
1982-11-12,39.0
1982-11-22,38.25
1982-12-02,43.0
1982-12-12,39.25
1982-12-22,34.0
1983-01-01,40.25
1983-01-11,34.0
1983-01-21,33.0
1983-01-31,34.25
1983-02-10,34.25
1983-02-20,33.0
1983-03-02,30.75
1983-03-12,34.0
1983-03-22,34.0
1983-04-01,44.25
1983-04-11,48.75
1983-04-21,42.75
1983-05-01,43.0
1983-05-11,42.25
1983-05-21,45.0
1983-05-31,39.75
1983-06-10,40.0
1983-06-20,40.5
1983-06-30,39.0
1983-07-10,42.5
1983-07-20,43.0
