time,jet_lat
1959-01-01,49.0
1959-01-11,38.0
1959-01-21,36.0
1959-01-31,46.0
1959-02-10,39.0
1959-02-20,40.0
1959-03-02,38.0
1959-03-12,37.0
1959-03-22,38.0
1959-04-01,47.0
1959-04-11,40.0
1959-04-21,46.0
1959-05-01,43.0
1959-05-11,41.0
1959-05-21,33.0
1959-05-31,42.0
1959-06-10,37.0
1959-06-20,35.0
1959-06-30,70.0
1959-07-10,43.0
1959-07-20,48.0
1959-07-30,47.0
1959-08-09,43.0
1959-08-19,53.0
1959-08-29,48.0
1959-09-08,39.0
1959-09-18,41.0
1959-09-28,53.0
1959-10-08,39.0
1959-10-18,42.0
1959-10-28,45.0
1959-11-07,40.0
1959-11-17,41.0
1959-11-27,43.0
1959-12-07,42.0
1959-12-17,41.0
1959-12-27,39.0
1960-01-06,42.0
1960-01-16,38.0
1960-01-26,34.0
1960-02-05,40.0
1960-02-15,39.0
1960-02-25,39.0
1960-03-06,43.0
1960-03-16,46.0
1960-03-26,39.0
1960-04-05,42.0
1960-04-15,42.0
1960-04-25,37.0
1960-05-05,42.0
1960-05-15,42.0
1960-05-25,41.0
1960-06-04,39.0
1960-06-14,43.0
1960-06-24,43.0
1960-07-04,39.0
1960-07-14,46.0
1960-07-24,43.0
1960-08-03,45.0
1960-08-13,48.0
1960-08-23,52.0
1960-09-02,46.0
1960-09-12,46.0
1960-09-22,48.0
1960-10-02,50.0
1960-10-12,50.0
1960-10-22,44.0
1960-11-01,39.0
1960-11-11,44.0
1960-11-21,39.0
1960-12-01,39.0
1960-12-11,38.0
1960-12-21,34.0
1960-12-31,40.0
1961-01-10,37.0
1961-01-20,32.0
1961-01-30,34.0
1961-02-09,39.0
1961-02-19,40.0
1961-03-01,40.0
1961-03-11,33.0
1961-03-21,38.0
1961-03-31,43.0
1961-04-10,49.0
1961-04-20,44.0
1961-04-30,44.0
1961-05-10,43.0
1961-05-20,42.0
1961-05-30,42.0
1961-06-09,39.0
1961-06-19,46.0
1961-06-29,46.0
1961-07-09,38.0
1961-07-19,43.0
1961-07-29,56.0
1961-08-08,47.0
1961-08-18,46.0
1961-08-28,48.0
1961-09-07,48.0
1961-09-17,47.0
1961-09-27,49.0
1961-10-07,46.0
1961-10-17,50.0
1961-10-27,49.0
1961-11-06,42.0
1961-11-16,49.0
1961-11-26,45.0
1961-12-06,40.0
1961-12-16,37.0
1961-12-26,33.0
1962-01-05,45.0
1962-01-15,70.0
1962-01-25,31.0
1962-02-04,32.0
1962-02-14,33.0
1962-02-24,38.0
1962-03-06,42.0
1962-03-16,39.0
1962-03-26,42.0
1962-04-05,64.0
1962-04-15,50.0
1962-04-25,44.0
1962-05-05,42.0
1962-05-15,42.0
1962-05-25,47.0
1962-06-04,48.0
1962-06-14,40.0
1962-06-24,40.0
1962-07-04,45.0
1962-07-14,45.0
1962-07-24,43.0
1962-08-03,46.0
1962-08-13,46.0
1962-08-23,70.0
1962-09-02,70.0
1962-09-12,46.0
1962-09-22,46.0
1962-10-02,46.0
1962-10-12,45.0
1962-10-22,38.0
1962-11-01,46.0
1962-11-11,44.0
1962-11-21,40.0
1962-12-01,37.0
1962-12-11,33.0
1962-12-21,34.0
1962-12-31,32.0
1963-01-10,30.0
1963-01-20,31.0
1963-01-30,30.0
1963-02-09,32.0
1963-02-19,34.0
1963-03-01,37.0
1963-03-11,47.0
1963-03-21,59.0
1963-03-31,45.0
1963-04-10,44.0
1963-04-20,45.0
1963-04-30,45.0
1963-05-10,46.0
1963-05-20,45.0
1963-05-30,44.0
1963-06-09,45.0
1963-06-19,44.0
1963-06-29,39.0
1963-07-09,47.0
1963-07-19,56.0
1963-07-29,47.0
1963-08-08,70.0
1963-08-18,39.0
1963-08-28,41.0
1963-09-07,41.0
1963-09-17,42.0
1963-09-27,70.0
1963-10-07,42.0
1963-10-17,46.0
1963-10-27,48.0
1963-11-06,41.0
1963-11-16,44.0
1963-11-26,39.0
1963-12-06,40.0
1963-12-16,38.0
1963-12-26,38.0
1964-01-05,40.0
1964-01-15,43.0
1964-01-25,35.0
1964-02-04,39.0
1964-02-14,43.0
1964-02-24,42.0
1964-03-05,44.0
1964-03-15,38.0
1964-03-25,48.0
1964-04-04,46.0
1964-04-14,50.0
1964-04-24,47.0
1964-05-04,46.0
1964-05-14,58.0
1964-05-24,34.0
1964-06-03,36.0
1964-06-13,35.0
1964-06-23,43.0
1964-07-03,44.0
1964-07-13,44.0
1964-07-23,46.0
1964-08-02,47.0
1964-08-12,47.0
1964-08-22,49.0
1964-09-01,43.0
1964-09-11,45.0
1964-09-21,49.0
1964-10-01,43.0
1964-10-11,49.0
1964-10-21,49.0
1964-10-31,48.0
1964-11-10,38.0
1964-11-20,35.0
1964-11-30,37.0
1964-12-10,34.0
1964-12-20,35.0
1964-12-30,39.0
1965-01-09,33.0
1965-01-19,38.0
1965-01-29,42.0
1965-02-08,42.0
1965-02-18,43.0
1965-02-28,35.0
1965-03-10,30.0
1965-03-20,29.0
1965-03-30,41.0
1965-04-09,35.0
1965-04-19,31.0
1965-04-29,42.0
1965-05-09,46.0
1965-05-19,42.0
1965-05-29,44.0
1965-06-08,39.0
1965-06-18,46.0
1965-06-28,38.0
1965-07-08,38.0
1965-07-18,53.0
1965-07-28,39.0
1965-08-07,42.0
1965-08-17,44.0
1965-08-27,45.0
1965-09-06,45.0
1965-09-16,47.0
1965-09-26,43.0
1965-10-06,46.0
1965-10-16,48.0
1965-10-26,43.0
1965-11-05,42.0
1965-11-15,48.0
1965-11-25,45.0
1965-12-05,43.0
1965-12-15,43.0
1965-12-25,39.0
1966-01-04,38.0
1966-01-14,39.0
1966-01-24,33.0
1966-02-03,42.0
1966-02-13,40.0
1966-02-23,48.0
1966-03-05,33.0
1966-03-15,35.0
1966-03-25,38.0
1966-04-04,33.0
1966-04-14,29.0
1966-04-24,46.0
1966-05-04,41.0
1966-05-14,50.0
1966-05-24,30.0
1966-06-03,36.0
1966-06-13,42.0
1966-06-23,39.0
1966-07-03,39.0
1966-07-13,39.0
1966-07-23,48.0
1966-08-02,46.0
1966-08-12,47.0
1966-08-22,44.0
1966-09-01,49.0
1966-09-11,42.0
1966-09-21,42.0
1966-10-01,52.0
1966-10-11,56.0
1966-10-21,40.0
1966-10-31,47.0
1966-11-10,44.0
1966-11-20,43.0
1966-11-30,33.0
1966-12-10,39.0
1966-12-20,40.0
1966-12-30,42.0
1967-01-09,39.0
1967-01-19,35.0
1967-01-29,39.0
1967-02-08,45.0
1967-02-18,42.0
1967-02-28,49.0
1967-03-10,32.0
1967-03-20,40.0
1967-03-30,43.0
1967-04-09,52.0
1967-04-19,70.0
1967-04-29,70.0
1967-05-09,70.0
1967-05-19,44.0
1967-05-29,27.0
1967-06-08,43.0
1967-06-18,35.0
1967-06-28,50.0
1967-07-08,46.0
1967-07-18,70.0
1967-07-28,51.0
1967-08-07,47.0
1967-08-17,46.0
1967-08-27,46.0
1967-09-06,48.0
1967-09-16,40.0
1967-09-26,40.0
1967-10-06,40.0
1967-10-16,42.0
1967-10-26,44.0
1967-11-05,43.0
1967-11-15,41.0
1967-11-25,48.0
1967-12-05,39.0
1967-12-15,34.0
1967-12-25,45.0
1968-01-04,33.0
1968-01-14,31.0
1968-01-24,32.0
1968-02-03,32.0
1968-02-13,31.0
1968-02-23,33.0
1968-03-04,33.0
1968-03-14,42.0
1968-03-24,40.0
1968-04-03,45.0
1968-04-13,48.0
1968-04-23,44.0
1968-05-03,48.0
1968-05-13,33.0
1968-05-23,36.0
1968-06-02,37.0
1968-06-12,37.0
1968-06-22,42.0
1968-07-02,41.0
1968-07-12,41.0
1968-07-22,45.0
1968-08-01,46.0
1968-08-11,43.0
