time,jet_lat
1980-01-01,27.5
1980-01-11,32.5
1980-01-21,30.0
1980-01-31,35.0
1980-02-10,30.0
1980-02-20,32.5
1980-03-01,42.5
1980-03-11,42.5
1980-03-21,45.0
1980-03-31,42.5
1980-04-10,42.5
1980-04-20,42.5
1980-04-30,40.0
1980-05-10,42.5
1980-05-20,42.5
1980-05-30,45.0
1980-06-09,42.5
1980-06-19,52.5
1980-06-29,35.0
1980-07-09,32.5
1980-07-19,42.5
1980-07-29,52.5
1980-08-08,50.0
1980-08-18,70.0
1980-08-28,70.0
1980-09-07,45.0
1980-09-17,47.5
1980-09-27,42.5
1980-10-07,45.0
1980-10-17,40.0
1980-10-27,37.5
1980-11-06,42.5
1980-11-16,42.5
1980-11-26,35.0
1980-12-06,32.5
1980-12-16,30.0
1980-12-26,32.5
1981-01-05,32.5
1981-01-15,32.5
1981-01-25,35.0
1981-02-04,32.5
1981-02-14,37.5
1981-02-24,40.0
1981-03-06,40.0
1981-03-16,37.5
1981-03-26,42.5
1981-04-05,42.5
1981-04-15,40.0
1981-04-25,47.5
1981-05-05,37.5
1981-05-15,40.0
1981-05-25,37.5
1981-06-04,37.5
1981-06-14,37.5
1981-06-24,45.0
1981-07-04,42.5
1981-07-14,45.0
1981-07-24,50.0
1981-08-03,70.0
1981-08-13,50.0
1981-08-23,45.0
1981-09-02,42.5
1981-09-12,42.5
1981-09-22,37.5
1981-10-02,42.5
1981-10-12,42.5
1981-10-22,47.5
1981-11-01,40.0
1981-11-11,37.5
1981-11-21,42.5
1981-12-01,40.0
1981-12-11,35.0
1981-12-21,45.0
1981-12-31,32.5
1982-01-10,45.0
1982-01-20,40.0
1982-01-30,30.0
1982-02-09,30.0
1982-02-19,35.0
1982-03-01,35.0
1982-03-11,42.5
1982-03-21,47.5
1982-03-31,42.5
1982-04-10,50.0
1982-04-20,42.5
1982-04-30,40.0
1982-05-10,45.0
1982-05-20,40.0
1982-05-30,42.5
1982-06-09,45.0
1982-06-19,37.5
1982-06-29,45.0
1982-07-09,47.5
1982-07-19,70.0
1982-07-29,47.5
1982-08-08,50.0
1982-08-18,40.0
1982-08-28,50.0
1982-09-07,45.0
1982-09-17,45.0
1982-09-27,45.0
1982-10-07,45.0
1982-10-17,65.0
1982-10-27,47.5
1982-11-06,50.0
1982-11-16,37.5
1982-11-26,40.0
1982-12-06,40.0
1982-12-16,40.0
1982-12-26,32.5
1983-01-05,40.0
1983-01-15,32.5
1983-01-25,32.5
1983-02-04,32.5
1983-02-14,32.5
1983-02-24,32.5
1983-03-06,30.0
1983-03-16,35.0
1983-03-26,35.0
1983-04-05,45.0
1983-04-15,47.5
1983-04-25,42.5
1983-05-05,40.0
1983-05-15,42.5
1983-05-25,42.5
1983-06-04,40.0
1983-06-14,40.0
1983-06-24,40.0
1983-07-04,42.5
1983-07-14,42.5
1983-07-24,40.0
1983-08-03,47.5
1983-08-13,52.5
1983-08-23,47.5
1983-09-02,70.0
1983-09-12,70.0
1983-09-22,40.0
1983-10-02,50.0
1983-10-12,45.0
1983-10-22,42.5
1983-11-01,35.0
1983-11-11,37.5
1983-11-21,37.5
1983-12-01,35.0
1983-12-11,40.0
1983-12-21,30.0
1983-12-31,30.0
1984-01-10,30.0
1984-01-20,32.5
1984-01-30,30.0
1984-02-09,37.5
1984-02-19,37.5
1984-02-29,32.5
1984-03-10,35.0
1984-03-20,40.0
1984-03-30,40.0
1984-04-09,40.0
1984-04-19,40.0
1984-04-29,40.0
1984-05-09,37.5
1984-05-19,40.0
1984-05-29,42.5
1984-06-08,45.0
1984-06-18,42.5
1984-06-28,50.0
1984-07-08,47.5
1984-07-18,47.5
1984-07-28,45.0
1984-08-07,65.0
1984-08-17,47.5
1984-08-27,50.0
1984-09-06,45.0
1984-09-16,47.5
1984-09-26,42.5
1984-10-06,47.5
1984-10-16,40.0
1984-10-26,42.5
1984-11-05,42.5
1984-11-15,42.5
1984-11-25,37.5
1984-12-05,47.5
1984-12-15,57.5
1984-12-25,35.0
1985-01-04,35.0
1985-01-14,37.5
1985-01-24,37.5
1985-02-03,32.5
1985-02-13,32.5
1985-02-23,42.5
1985-03-05,47.5
1985-03-15,42.5
1985-03-25,40.0
1985-04-04,42.5
1985-04-14,47.5
1985-04-24,45.0
1985-05-04,45.0
1985-05-14,47.5
1985-05-24,40.0
1985-06-03,37.5
1985-06-13,47.5
1985-06-23,42.5
1985-07-03,37.5
1985-07-13,42.5
1985-07-23,42.5
1985-08-02,45.0
1985-08-12,52.5
1985-08-22,52.5
1985-09-01,47.5
1985-09-11,70.0
1985-09-21,45.0
1985-10-01,45.0
1985-10-11,47.5
1985-10-21,45.0
1985-10-31,47.5
1985-11-10,32.5
1985-11-20,40.0
1985-11-30,40.0
1985-12-10,32.5
1985-12-20,32.5
1985-12-30,40.0
1986-01-09,35.0
1986-01-19,35.0
1986-01-29,32.5
1986-02-08,30.0
1986-02-18,32.5
1986-02-28,32.5
1986-03-10,37.5
1986-03-20,42.5
1986-03-30,42.5
1986-04-09,47.5
1986-04-19,47.5
1986-04-29,42.5
1986-05-09,50.0
1986-05-19,40.0
1986-05-29,42.5
1986-06-08,42.5
1986-06-18,37.5
1986-06-28,37.5
1986-07-08,37.5
1986-07-18,60.0
1986-07-28,47.5
1986-08-07,47.5
1986-08-17,70.0
1986-08-27,45.0
1986-09-06,50.0
1986-09-16,70.0
1986-09-26,47.5
1986-10-06,40.0
1986-10-16,45.0
1986-10-26,42.5
1986-11-05,45.0
1986-11-15,42.5
1986-11-25,42.5
1986-12-05,37.5
1986-12-15,40.0
1986-12-25,37.5
1987-01-04,35.0
1987-01-14,42.5
1987-01-24,40.0
1987-02-03,32.5
1987-02-13,42.5
1987-02-23,30.0
1987-03-05,35.0
1987-03-15,42.5
1987-03-25,42.5
1987-04-04,40.0
1987-04-14,47.5
1987-04-24,42.5
1987-05-04,45.0
1987-05-14,47.5
1987-05-24,42.5
1987-06-03,45.0
1987-06-13,42.5
1987-06-23,40.0
1987-07-03,40.0
1987-07-13,40.0
1987-07-23,40.0
1987-08-02,45.0
1987-08-12,70.0
1987-08-22,70.0
1987-09-01,47.5
1987-09-11,47.5
1987-09-21,50.0
1987-10-01,47.5
1987-10-11,47.5
1987-10-21,45.0
1987-10-31,40.0
1987-11-10,42.5
1987-11-20,42.5
1987-11-30,40.0
1987-12-10,45.0
1987-12-20,42.5
1987-12-30,40.0
1988-01-09,40.0
1988-01-19,35.0
1988-01-29,35.0
1988-02-08,42.5
1988-02-18,32.5
1988-02-28,37.5
1988-03-09,40.0
1988-03-19,40.0
1988-03-29,42.5
1988-04-08,40.0
1988-04-18,40.0
1988-04-28,42.5
1988-05-08,40.0
1988-05-18,42.5
1988-05-28,40.0
1988-06-07,37.5
1988-06-17,40.0
1988-06-27,40.0
1988-07-07,40.0
1988-07-17,42.5
1988-07-27,47.5
1988-08-06,50.0
1988-08-16,47.5
1988-08-26,45.0
1988-09-05,50.0
1988-09-15,47.5
1988-09-25,70.0
1988-10-05,40.0
1988-10-15,47.5
1988-10-25,40.0
1988-11-04,42.5
1988-11-14,42.5
1988-11-24,37.5
1988-12-04,40.0
1988-12-14,37.5
1988-12-24,40.0
1989-01-03,47.5
1989-01-13,42.5
1989-01-23,35.0
1989-02-02,32.5
1989-02-12,40.0
1989-02-22,70.0
1989-03-04,32.5
1989-03-14,32.5
1989-03-24,40.0
1989-04-03,70.0
1989-04-13,45.0
1989-04-23,40.0
1989-05-03,42.5
1989-05-13,47.5
1989-05-23,40.0
1989-06-02,40.0
1989-06-12,40.0
1989-06-22,45.0
1989-07-02,70.0
1989-07-12,45.0
1989-07-22,47.5
1989-08-01,50.0
1989-08-11,42.5
1989-08-21,47.5
1989-08-31,42.5
1989-09-10,50.0
1989-09-20,40.0
1989-09-30,50.0
1989-10-10,52.5
1989-10-20,45.0
1989-10-30,47.5
1989-11-09,50.0
1989-11-19,42.5
1989-11-29,37.5
1989-12-09,32.5
1989-12-19,37.5
1989-12-29,37.5
1990-01-08,42.5
1990-01-18,42.5
1990-01-28,45.0
1990-02-07,47.5
1990-02-17,57.5
1990-02-27,42.5
1990-03-09,37.5
1990-03-19,35.0
1990-03-29,42.5
1990-04-08,32.5
1990-04-18,42.5
1990-04-28,45.0
1990-05-08,40.0
1990-05-18,40.0
1990-05-28,40.0
1990-06-07,42.5
1990-06-17,45.0
1990-06-27,45.0
1990-07-07,42.5
1990-07-17,40.0
1990-07-27,47.5
1990-08-06,45.0
1990-08-16,40.0
1990-08-26,55.0
1990-09-05,52.5
1990-09-15,42.5
1990-09-25,47.5
1990-10-05,50.0
1990-10-15,47.5
1990-10-25,42.5
1990-11-04,42.5
1990-11-14,50.0
1990-11-24,50.0
1990-12-04,47.5
1990-12-14,40.0
1990-12-24,30.0
1991-01-03,35.0
1991-01-13,35.0
1991-01-23,27.5
1991-02-02,30.0
1991-02-12,35.0
1991-02-22,32.5
1991-03-04,45.0
1991-03-14,45.0
1991-03-24,42.5
1991-04-03,42.5
1991-04-13,42.5
1991-04-23,40.0
1991-05-03,42.5
1991-05-13,42.5
1991-05-23,45.0
1991-06-02,45.0
1991-06-12,42.5
1991-06-22,35.0
1991-07-02,35.0
1991-07-12,45.0
1991-07-22,42.5
1991-08-01,45.0
1991-08-11,45.0
1991-08-21,50.0
1991-08-31,42.5
1991-09-10,45.0
1991-09-20,42.5
1991-09-30,45.0
1991-10-10,50.0
1991-10-20,47.5
1991-10-30,42.5
1991-11-09,42.5
1991-11-19,42.5
1991-11-29,45.0
1991-12-09,45.0
1991-12-19,42.5
1991-12-29,37.5
1992-01-08,35.0
1992-01-18,32.5
1992-01-28,37.5
1992-02-07,30.0
1992-02-17,32.5
1992-02-27,35.0
1992-03-08,37.5
1992-03-18,32.5
1992-03-28,32.5
1992-04-07,35.0
1992-04-17,40.0
1992-04-27,35.0
1992-05-07,70.0
1992-05-17,32.5
1992-05-27,32.5
1992-06-06,37.5
1992-06-16,37.5
1992-06-26,35.0
1992-07-06,47.5
1992-07-16,40.0
1992-07-26,42.5
1992-08-05,45.0
1992-08-15,45.0
1992-08-25,50.0
1992-09-04,50.0
1992-09-14,42.5
1992-09-24,47.5
1992-10-04,52.5
1992-10-14,40.0
1992-10-24,42.5
1992-11-03,47.5
1992-11-13,45.0
1992-11-23,42.5
1992-12-03,42.5
1992-12-13,42.5
1992-12-23,40.0
1993-01-02,27.5
1993-01-12,35.0
1993-01-22,32.5
1993-02-01,32.5
1993-02-11,35.0
1993-02-21,35.0
1993-03-03,42.5
1993-03-13,35.0
1993-03-23,40.0
1993-04-02,37.5
1993-04-12,37.5
1993-04-22,37.5
1993-05-02,40.0
1993-05-12,37.5
1993-05-22,32.5
1993-06-01,37.5
1993-06-11,35.0
1993-06-21,42.5
1993-07-01,50.0
1993-07-11,37.5
1993-07-21,70.0
1993-07-31,70.0
1993-08-10,45.0
1993-08-20,45.0
1993-08-30,37.5
1993-09-09,70.0
1993-09-19,42.5
1993-09-29,45.0
1993-10-09,47.5
1993-10-19,42.5
1993-10-29,45.0
1993-11-08,55.0
1993-11-18,45.0
1993-11-28,42.5
1993-12-08,40.0
1993-12-18,37.5
1993-12-28,37.5
1994-01-07,35.0
1994-01-17,42.5
1994-01-27,32.5
1994-02-06,45.0
1994-02-16,32.5
1994-02-26,32.5
1994-03-08,42.5
1994-03-18,42.5
1994-03-28,37.5
1994-04-07,45.0
1994-04-17,40.0
1994-04-27,37.5
1994-05-07,40.0
1994-05-17,45.0
1994-05-27,42.5
1994-06-06,40.0
1994-06-16,32.5
1994-06-26,45.0
1994-07-06,47.5
1994-07-16,47.5
1994-07-26,47.5
1994-08-05,45.0
1994-08-15,70.0
1994-08-25,50.0
1994-09-04,45.0
1994-09-14,52.5
1994-09-24,70.0
1994-10-04,45.0
1994-10-14,45.0
1994-10-24,47.5
1994-11-03,52.5
1994-11-13,52.5
1994-11-23,37.5
1994-12-03,42.5
